Date,Open,High,Low,Close,Volume
24/2/2016 11:45,19133,19137,19095,19111,1737
24/2/2016 11:30,19106,19141,19094,19132,3216
24/2/2016 11:15,19133,19149,19099,19106,4511
24/2/2016 11:00,19199,19206,19132,19135,5198
24/2/2016 10:45,19181,19214,19178,19200,3925
24/2/2016 10:30,19209,19222,19167,19182,6391
24/2/2016 10:15,19290,19294,19193,19209,8929
24/2/2016 10:00,19353,19375,19288,19290,5523
24/2/2016 9:45,19335,19360,19324,19353,5333
24/2/2016 9:30,19282,19347,19282,19335,7220
24/2/2016 9:15,19364,19366,19272,19280,6428
24/2/2016 9:00,19372,19372,19360,19360,254
23/2/2016 16:00,19409,19428,19377,19416,3780
23/2/2016 15:45,19441,19453,19396,19411,4438
23/2/2016 15:30,19419,19445,19418,19442,2077
23/2/2016 15:15,19442,19443,19399,19421,2962
23/2/2016 15:00,19459,19470,19440,19443,1727
23/2/2016 14:45,19489,19498,19450,19460,3010
23/2/2016 14:30,19418,19490,19416,19488,3753
23/2/2016 14:15,19412,19475,19412,19417,4401
23/2/2016 14:00,19407,19421,19390,19413,2842
23/2/2016 13:45,19443,19444,19381,19408,4260
23/2/2016 13:30,19379,19557,19377,19442,10904
23/2/2016 13:15,19359,19388,19356,19379,3236
23/2/2016 13:00,19348,19367,19344,19360,2093
23/2/2016 11:45,19335,19349,19326,19349,1440
23/2/2016 11:30,19351,19353,19312,19337,3924
23/2/2016 11:15,19402,19412,19343,19352,5903
23/2/2016 11:00,19417,19427,19400,19401,2896
23/2/2016 10:45,19426,19439,19408,19417,3325
23/2/2016 10:30,19420,19427,19396,19426,3690
23/2/2016 10:15,19439,19452,19415,19419,3369
23/2/2016 10:00,19454,19478,19434,19440,4042
23/2/2016 9:45,19477,19477,19424,19455,5884
23/2/2016 9:30,19487,19498,19387,19475,8703
23/2/2016 9:15,19512,19519,19462,19484,4785
23/2/2016 9:00,19531,19535,19520,19520,329
22/2/2016 16:00,19471,19482,19443,19476,4085
22/2/2016 15:45,19479,19482,19456,19471,3892
22/2/2016 15:30,19442,19490,19439,19480,3410
22/2/2016 15:15,19433,19453,19425,19442,2106
22/2/2016 15:00,19419,19454,19405,19434,3698
22/2/2016 14:45,19426,19436,19408,19420,2358
22/2/2016 14:30,19416,19441,19396,19427,3063
22/2/2016 14:15,19419,19438,19406,19416,2746
22/2/2016 14:00,19435,19438,19395,19420,4695
22/2/2016 13:45,19456,19476,19427,19435,3334
22/2/2016 13:30,19485,19488,19450,19457,3320
22/2/2016 13:15,19426,19497,19419,19484,4458
22/2/2016 13:00,19449,19470,19408,19425,5571
22/2/2016 11:45,19480,19496,19474,19488,1402
22/2/2016 11:30,19469,19498,19466,19481,2484
22/2/2016 11:15,19470,19481,19442,19469,3731
22/2/2016 11:00,19428,19497,19427,19470,5473
22/2/2016 10:45,19428,19452,19412,19426,3614
22/2/2016 10:30,19384,19438,19370,19427,4307
22/2/2016 10:15,19488,19495,19362,19386,6300
22/2/2016 10:00,19477,19498,19454,19487,4199
22/2/2016 9:45,19519,19519,19463,19476,5526
22/2/2016 9:30,19461,19546,19430,19517,8332
22/2/2016 9:15,19359,19493,19352,19463,6831
