,Date,0,0,0,Close
0,2015-12-03 09:15:00,,,,22280
1,2015-12-03 09:30:00,,,,22368
2,2015-12-03 09:45:00,,,,22404
3,2015-12-03 10:00:00,,,,22444
4,2015-12-03 10:15:00,,,,22450
5,2015-12-03 10:30:00,,,,22388
6,2015-12-03 10:45:00,,,,22372
7,2015-12-03 11:00:00,,,,22382
8,2015-12-03 11:15:00,,,,22401
9,2015-12-03 11:30:00,,,,22383
10,2015-12-03 11:45:00,,,,22404
11,2015-12-03 13:15:00,,,,22422
12,2015-12-03 13:45:00,,,,22440
13,2015-12-03 14:00:00,,,,22485
14,2015-12-03 14:15:00,,,,22445
15,2015-12-03 14:30:00,,,,22437
16,2015-12-03 14:45:00,,,,22419
17,2015-12-03 15:00:00,,,,22428
18,2015-12-03 15:45:00,,,,22416
19,2015-12-03 16:00:00,,,,22440
20,2015-12-04 09:15:00,,,,22129
21,2015-12-04 09:30:00,,,,22188
22,2015-12-04 09:45:00,,-110.256449684,,22162
23,2015-12-04 10:15:00,,-115.071944577,,22154
24,2015-12-04 11:00:00,,-118.446482168,,22130
25,2015-12-04 11:15:00,,-112.920790294,,22135
26,2015-12-04 11:30:00,,-100.798762546,,22148
27,2015-12-04 13:00:00,,-69.5947598507,,22220
28,2015-12-04 13:15:00,,-58.5329204432,,22188
29,2015-12-04 13:30:00,,-59.6988087321,,22152
30,2015-12-04 13:45:00,,-60.0759596472,,22142
31,2015-12-04 14:00:00,,-57.8201658952,,22140
32,2015-12-04 14:15:00,,-39.9948658807,,22190
33,2015-12-04 14:30:00,,-31.661840079,,22179
34,2015-12-04 14:45:00,,-26.5289095292,,22176
35,2015-12-04 15:00:00,,-26.0826755141,,22163
36,2015-12-04 15:15:00,,-25.3692688805,,22160
37,2015-12-04 15:30:00,,-15.4762669538,,22190
38,2015-12-04 15:45:00,,0.941372405432,,22228
39,2015-12-04 16:00:00,10.9210715314,-5.06143555126,,22175
40,2015-12-07 09:15:00,11.1656013354,51.440162049,,22391
41,2015-12-07 09:30:00,11.0535343019,57.6314926867,-46.1689639542,22315
42,2015-12-07 09:45:00,10.6052389369,40.4003666372,-38.6361231382,22251
43,2015-12-07 10:00:00,10.1793583403,40.0590071293,-30.8795755528,22290
44,2015-12-07 10:15:00,9.9392858373,39.2518430312,-22.9946592929,22295
45,2015-12-07 10:45:00,9.89984258682,49.2404897282,-14.8865952918,22340
46,2015-12-07 11:00:00,9.88345508677,52.8475047577,-7.20428192661,22343
47,2015-12-07 11:30:00,9.88986980193,52.9238124102,-1.07835331356,22346
48,2015-12-07 13:00:00,9.62815777681,42.6176833074,3.97917687396,22318
49,2015-12-07 13:15:00,9.24879336726,30.126081363,8.47042137872,22300
50,2015-12-07 13:30:00,8.89696969754,22.061686274,12.5773036748,22300
51,2015-12-07 13:45:00,8.60736566267,22.2247945386,16.5795516965,22320
52,2015-12-07 14:15:00,8.42358365274,23.9491866506,19.776754323,22330
53,2015-12-07 14:30:00,8.21793841048,19.2570331769,22.3226979858,22314
54,2015-12-07 15:00:00,7.906094517,12.2558009443,24.2619335095,22301
55,2015-12-07 15:30:00,7.75715438395,-1.38263602501,25.496935484,22267
56,2015-12-07 15:45:00,7.71330945157,-11.2236836326,26.2042147464,22257
57,2015-12-07 16:00:00,7.35632561193,-5.10404944502,26.7228256218,22296
58,2015-12-08 09:15:00,9.03882711873,-94.3110390243,21.9602050503,21959
59,2015-12-08 09:30:00,10.6372035502,-136.704156602,15.3780689978,21958
60,2015-12-08 09:45:00,12.4972059394,-173.5753355,4.12729412028,21880
61,2015-12-08 10:00:00,14.3941251549,-191.953937647,-8.3519773964,21852
62,2015-12-08 10:15:00,16.3313406759,-215.655006892,-21.1547460728,21766
63,2015-12-08 10:30:00,18.1716954208,-206.5903179,-33.4872123243,21805
64,2015-12-08 10:45:00,20.012742352,-207.726840285,-45.8361464901,21746
65,2015-12-08 11:00:00,21.786456522,-196.837172523,-58.1400296027,21750
66,2015-12-08 11:30:00,22.9280231459,-166.153238321,-69.0900667566,21805
67,2015-12-08 11:45:00,23.9116170135,-138.98651095,-78.6855829246,21815
68,2015-12-08 13:00:00,24.8627941376,-123.549653532,-86.9939497666,21794
69,2015-12-08 13:15:00,25.6475883005,-104.592820711,-93.7298948703,21811
70,2015-12-08 13:30:00,26.2722599477,-91.0608424445,-99.3860213062,21805
71,2015-12-08 13:45:00,27.0112379684,-87.6535117324,-104.87993662,21775
72,2015-12-08 14:00:00,27.8165747134,-87.5319875219,-110.453995328,21753
73,2015-12-08 14:15:00,28.6872733212,-84.1915879353,-115.626426384,21749
74,2015-12-08 14:30:00,29.0629943898,-67.7782987556,-119.628131369,21787
75,2015-12-08 14:45:00,29.2527301334,-51.3724069984,-122.127619918,21803
76,2015-12-08 15:00:00,29.4898400658,-49.265693476,-124.02972041,21770
77,2015-12-08 15:15:00,29.0385553919,-26.4463842029,-125.096837148,21840
78,2015-12-08 15:30:00,28.5000849492,-10.1189276244,-120.887231578,21851
79,2015-12-08 15:45:00,27.6120126708,9.68393346051,-113.567827075,21890
80,2015-12-08 16:00:00,26.9451333944,6.12123885707,-104.582998357,21841
81,2015-12-09 09:15:00,26.7405016706,-1.55523775258,-95.063063362,21821
82,2015-12-09 09:30:00,26.4368744462,-11.832626085,-84.8719443217,21798
83,2015-12-09 09:45:00,26.4594474579,-26.8116236553,-75.8830096094,21761
84,2015-12-09 10:00:00,26.5863760327,-38.2850161969,-67.410918405,21743
85,2015-12-09 10:15:00,26.5685037233,-32.7692964714,-59.2075246025,21778
86,2015-12-09 10:30:00,26.2886903569,-23.010078792,-52.050366626,21797
87,2015-12-09 10:45:00,25.7688560171,-9.03598557068,-45.552840357,21825
88,2015-12-09 11:00:00,25.1546151031,-5.92278735095,-39.671497048,21808
89,2015-12-09 11:15:00,24.4595621702,3.98278108195,-34.2427169583,21837
90,2015-12-09 11:30:00,23.8650386468,1.55906545513,-29.6117215634,21810
91,2015-12-09 11:45:00,23.3002412995,5.98366147829,-24.9298629028,21831
92,2015-12-09 13:00:00,23.072324191,-7.11760868346,-20.9091439609,21776
93,2015-12-09 13:15:00,22.9746336657,-16.6648950842,-17.5328093184,21765
94,2015-12-09 13:30:00,22.8818276667,-16.9939756904,-14.9935931651,21779
95,2015-12-09 13:45:00,22.7936619677,-13.8420442241,-13.1170750264,21788
96,2015-12-09 14:00:00,22.4590670708,-10.9451779931,-11.2010492522,21790
97,2015-12-09 14:15:00,21.7673056785,4.04793567781,-9.67633325819,21837
98,2015-12-09 14:30:00,20.8087144815,8.96692357116,-8.72204069841,21827
99,2015-12-09 14:45:00,20.1274535698,4.22604603661,-8.99493506961,21802
100,2015-12-09 15:00:00,19.6024600195,1.25078302914,-9.23845786101,21801
101,2015-12-09 15:15:00,18.7045802007,8.97623079876,-8.71188443344,21835
102,2015-12-09 15:30:00,18.2017009249,4.05827933787,-7.91733916229,21804
103,2015-12-09 15:45:00,17.7737546309,4.29844085401,-6.36183593683,21815
104,2015-12-09 16:00:00,17.3672056515,-1.56539639271,-4.52585494662,21794
105,2015-12-10 09:00:00,17.6183887928,-24.9156411276,-4.13317217943,21720
106,2015-12-10 09:15:00,18.2663768987,-21.6287375571,-4.06410511768,21772
107,2015-12-10 09:30:00,18.2185623005,-14.4216763047,-4.33338965438,21788
108,2015-12-10 09:45:00,17.8295112393,7.40811466808,-3.66684455343,21851
109,2015-12-10 10:00:00,17.3351032188,11.0733491954,-3.31231614776,21824
110,2015-12-10 10:15:00,17.0240268701,5.01892986242,-3.13932292739,21797
111,2015-12-10 10:30:00,16.8504465895,-2.26058678049,-3.55153534033,21783
112,2015-12-10 10:45:00,16.9610510704,-13.669303679,-3.87912009011,21755
113,2015-12-10 11:00:00,17.0661253272,-12.9254148668,-3.69214607923,21777
114,2015-12-10 11:15:00,17.2672751159,-7.763602497,-3.23062741956,21792
115,2015-12-10 11:30:00,17.1075962283,3.03452912197,-2.38679875226,21820
116,2015-12-10 11:45:00,16.9930082982,3.05182176584,-1.68694876431,21800
117,2015-12-10 13:00:00,16.5291532279,11.1583093156,-1.33143008242,21830
118,2015-12-10 13:15:00,16.0884909112,14.8562998134,-1.03696127031,21830
119,2015-12-10 13:30:00,15.8277937046,9.1799298341,-0.789267080437,21805
120,2015-12-10 13:45:00,15.4756149942,5.74083910326,-0.564764276731,21805
121,2015-12-10 14:00:00,15.6798188454,-8.7267254856,-1.44991209095,21760
122,2015-12-10 14:15:00,15.8738125041,-19.1858606205,-2.61211908887,21748
123,2015-12-10 14:30:00,16.2262555712,-25.0926135352,-4.08167180833,21743
124,2015-12-10 14:45:00,16.5311697998,-30.5140281387,-5.52910339563,21730
125,2015-12-10 15:00:00,17.1403253644,-38.9845693986,-6.23254980918,21704
126,2015-12-10 15:15:00,17.7190231507,-42.3073750902,-7.26648168584,21701
127,2015-12-10 15:30:00,18.2687860477,-35.8864793237,-8.33972183679,21723
128,2015-12-10 15:45:00,19.3510854826,-38.1461850801,-10.6174368242,21696
129,2015-12-10 16:00:00,20.4295627676,-50.6252213482,-13.7023653514,21648
130,2015-12-11 09:15:00,20.2242387075,-48.3204543216,-16.3693345606,21671
131,2015-12-11 09:30:00,20.4040936246,-57.0694289165,-19.1097766674,21626
132,2015-12-11 09:45:00,20.6531568311,-61.284169133,-21.4905199401,21617
133,2015-12-11 10:00:00,21.1590711993,-64.28269929,-24.0583841612,21603
134,2015-12-11 10:15:00,21.8458171383,-77.217792658,-27.5310936693,21550
135,2015-12-11 10:30:00,22.4982257803,-71.8978270432,-31.2777114776,21580
136,2015-12-11 10:45:00,23.3195133881,-72.1099537433,-35.035800253,21556
137,2015-12-11 11:00:00,24.2084746139,-70.8158225737,-39.1345068475,21548
