Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
24/11/2015 13:00,22480,22490,22405,22432,22480,22500,22549,4956,2701
24/11/2015 11:45,22492,22504,22472,22495,22491,22516,22564,1213,2611
24/11/2015 11:30,22480,22495,22469,22491,22487,22523,22575,1486,3341
24/11/2015 11:15,22500,22505,22463,22482,22495,22543,22587,2547,4104
24/11/2015 11:00,22485,22505,22474,22500,22511,22564,22602,3301,4424
24/11/2015 10:45,22478,22489,22452,22485,22520,22583,22613,4507,4658
24/11/2015 10:30,22531,22538,22475,22477,22541,22601,22625,4866,4708
24/11/2015 10:15,22563,22572,22493,22530,22559,22619,22636,5299,4759
24/11/2015 10:00,22547,22593,22542,22564,22591,22634,22646,4145,3739
24/11/2015 9:45,22583,22586,22524,22546,22617,22647,22654,4475,3519
24/11/2015 9:30,22570,22593,22534,22586,22645,22659,22665,4753,3292
24/11/2015 9:15,22692,22700,22548,22569,22662,22667,22672,5123,2839
24/11/2015 9:00,22700,22705,22690,22691,22678,22674,22686,197,2576
23/11/2015 16:00,22686,22723,22675,22695,22676,22674,22694,3045,3368
23/11/2015 15:45,22671,22700,22665,22685,22676,22673,22699,3342,3475
23/11/2015 15:30,22648,22682,22643,22670,22672,22674,22704,2490,3498
23/11/2015 15:15,22680,22685,22622,22649,22672,22678,22709,3807,3972
23/11/2015 15:00,22695,22729,22676,22683,22671,22690,22713,4157,4165
23/11/2015 14:45,22667,22713,22648,22694,22671,22702,22713,3580,3997
23/11/2015 14:30,22672,22683,22640,22665,22669,22710,22711,3454,4056
23/11/2015 14:15,22642,22689,22617,22671,22677,22720,22715,4860,4053
23/11/2015 14:00,22682,22692,22635,22641,22683,22727,22717,4775,4037
23/11/2015 13:45,22687,22700,22662,22683,22709,22734,22725,3317,3402
23/11/2015 13:30,22701,22714,22673,22686,22734,22734,22733,3872,3256
23/11/2015 13:15,22701,22727,22681,22702,22751,22732,22738,3439,3373
23/11/2015 13:00,22777,22777,22690,22701,22764,22735,22744,4781,3752
23/11/2015 11:45,22806,22807,22767,22774,22772,22735,22743,1603,3656
23/11/2015 11:30,22775,22814,22761,22805,22759,22733,22728,2587,4177
23/11/2015 11:15,22767,22817,22761,22774,22734,22733,22710,4455,4332
23/11/2015 11:00,22741,22794,22720,22767,22713,22731,22696,5334,4523
23/11/2015 10:45,22706,22744,22694,22741,22706,22734,22680,4303,4340
23/11/2015 10:30,22680,22711,22646,22709,22697,22729,22667,4208,5047
23/11/2015 10:15,22670,22696,22662,22679,22706,22713,22656,3360,5092
23/11/2015 10:00,22732,22741,22653,22668,22731,22699,22644,5410,4471
23/11/2015 9:45,22696,22744,22681,22731,22750,22687,22630,4419,4232
23/11/2015 9:30,22757,22759,22629,22697,22763,22668,22613,7840,5465
23/11/2015 9:15,22805,22805,22730,22757,22760,22652,22597,4431,5575
23/11/2015 9:00,22800,22804,22799,22804,22719,22631,22577,255,4939
20/11/2015 16:00,22799,22820,22759,22761,22666,22600,22554,4213,5297
20/11/2015 15:45,22683,22822,22683,22795,22624,22570,22533,10584,4954
20/11/2015 15:30,22548,22710,22545,22685,22573,22537,22510,8390,3624
20/11/2015 15:15,22541,22550,22533,22548,22544,22515,22495,1253,2876
20/11/2015 15:00,22552,22552,22530,22540,22543,22507,22490,2047,3532
20/11/2015 14:45,22537,22562,22531,22553,22535,22498,22485,2494,3997
20/11/2015 14:30,22542,22573,22514,22537,22516,22487,22480,3938,3912
20/11/2015 14:15,22544,22581,22532,22541,22502,22478,22476,4649,3655
20/11/2015 14:00,22501,22549,22492,22544,22486,22471,22468,4530,3194
20/11/2015 13:45,22459,22518,22456,22499,22471,22464,22465,4372,2476
20/11/2015 13:30,22466,22475,22452,22460,22460,22461,22466,2071,1935
20/11/2015 13:15,22461,22480,22450,22467,22459,22463,22468,2651,2038
20/11/2015 13:00,22461,22470,22443,22462,22454,22462,22469,2347,2250
20/11/2015 11:45,22447,22465,22447,22465,22456,22459,22470,939,2381
