Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG15,Volume,VolumeSMAVG5
28/12/2015 14:30,21871,21900,21864,21875,21872,21945,21975,2164,3243
28/12/2015 14:15,21875,21891,21866,21872,21883,21961,21987,1853,3979
28/12/2015 14:00,21859,21890,21855,21873,21913,21977,21998,2167,3945
28/12/2015 13:45,21882,21892,21847,21859,21947,21993,22012,3266,3672
28/12/2015 13:30,21930,21942,21832,21882,21985,22012,22029,6763,3417
28/12/2015 13:15,22021,22024,21928,21930,22018,22027,22047,5844,2405
28/12/2015 13:00,22045,22049,22021,22023,22038,22039,22061,1687,1547
28/12/2015 11:45,22048,22054,22036,22042,22040,22040,22070,802,1563
28/12/2015 11:30,22045,22069,22041,22048,22039,22044,22076,1987,1878
28/12/2015 11:15,22031,22046,22021,22046,22039,22052,22084,1706,1854
28/12/2015 11:00,22034,22044,22022,22031,22036,22061,22092,1552,2131
28/12/2015 10:45,22039,22048,22024,22032,22040,22073,22101,1770,2584
28/12/2015 10:30,22046,22050,22013,22039,22041,22085,22110,2376,3114
28/12/2015 10:15,22032,22056,22030,22048,22048,22095,22119,1868,3614
28/12/2015 10:00,22049,22072,22028,22032,22064,22106,22127,3091,3266
28/12/2015 9:45,22035,22055,22018,22050,22086,22121,22136,3814,2648
28/12/2015 9:30,22077,22083,22031,22036,22106,22132,22148,4423,2304
28/12/2015 9:15,22135,22185,22063,22075,22129,22144,22165,4872,1772
28/12/2015 9:00,22112,22135,22112,22128,22142,22154,22166,131,1286
24/12/2015 16:00,22143,22143,22143,22143,22149,22158,22160,0,1707
24/12/2015 11:45,22154,22157,22134,22146,22155,22161,22149,2093,2193
24/12/2015 11:30,22136,22160,22135,22155,22158,22169,22143,1765,2271
24/12/2015 11:15,22163,22166,22130,22137,22158,22182,22135,2441,2561
24/12/2015 11:00,22172,22183,22156,22162,22166,22179,22129,2236,2681
24/12/2015 10:45,22162,22175,22148,22173,22168,22165,22122,2432,3213
24/12/2015 10:30,22156,22170,22146,22163,22167,22147,22117,2480,3927
24/12/2015 10:15,22172,22192,22154,22156,22180,22135,22111,3218,4219
24/12/2015 10:00,22173,22189,22163,22174,22206,22123,22103,3041,3639
24/12/2015 9:45,22170,22206,22160,22173,22191,22110,22094,4892,3878
24/12/2015 9:30,22228,22232,22169,22170,22163,22099,22084,6002,3685
24/12/2015 9:15,22293,22297,22216,22229,22126,22092,22076,3943,3285
24/12/2015 9:00,22266,22297,22266,22285,22089,22076,22066,319,2895
23/12/2015 16:00,22029,22105,22016,22100,22040,22052,22051,4234,3509
23/12/2015 15:45,21987,22035,21983,22029,22029,22045,22050,3926,3358
23/12/2015 15:30,22045,22054,21971,21989,22036,22045,22053,4003,3395
23/12/2015 15:15,22039,22069,22034,22044,22058,22051,22059,1994,3549
23/12/2015 15:00,22044,22056,22025,22040,22062,22054,22062,3389,3602
23/12/2015 14:45,22062,22064,22035,22045,22064,22057,22063,3477,3503
23/12/2015 14:30,22097,22104,22058,22062,22060,22061,22064,4111,3368
23/12/2015 14:15,22066,22123,22061,22098,22054,22062,22065,4774,3197
23/12/2015 14:00,22048,22066,22044,22065,22044,22060,22061,2257,2767
23/12/2015 13:45,22026,22057,22025,22048,22045,22062,22047,2896,2563
23/12/2015 13:30,22032,22046,22018,22026,22050,22063,22036,2802,2289
23/12/2015 13:15,22050,22059,22029,22033,22061,22066,22022,3256,2380
