Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-04,04:25:00,1.99,2,1.95,2,6000,0
2016-02-04,07:05:00,1.99,1.99,1.99,1.99,4000,0
2016-02-04,09:00:00,1.99,1.99,1.99,1.99,4000,0
2016-02-05,02:45:00,2,2,1.99,2,8000,0
2016-02-05,06:20:00,2,2,2,2,20000,0
2016-02-12,04:15:00,2,2,2,2,6000,0
2016-02-12,09:00:00,2,2,2,2,4000,0
2016-02-15,03:20:00,2,2,2,2,4000,0
2016-02-15,04:30:00,2,2,2,2,4000,0
2016-02-15,07:05:00,2,2,2,2,4000,0
2016-02-15,07:50:00,2,2,2,2,30000,0
2016-02-16,02:45:00,2,2,2,2,4000,0
2016-02-16,04:20:00,2,2,2,2,4000,0
2016-02-16,06:55:00,2,2,2,2,4000,0
2016-02-16,09:00:00,1.96,2,1.96,2,8000,0
2016-02-17,03:25:00,2,2,1.99,1.99,8000,0
2016-02-17,03:40:00,1.99,2,1.99,2,6000,0
2016-02-17,06:10:00,1.96,2,1.96,2,6000,0
2016-02-17,07:45:00,2,2,2,2,2000,0
2016-02-17,09:00:00,2,2,2,2,4000,0
2016-02-18,03:15:00,2,2,2,2,4000,0
2016-02-18,04:00:00,2,2,1.95,1.95,18000,0
2016-02-18,04:50:00,1.95,1.95,1.95,1.95,6000,0
2016-02-18,08:00:00,1.95,1.95,1.95,1.95,2000,0
2016-02-18,08:25:00,1.92,1.95,1.92,1.95,4000,0
2016-02-19,03:05:00,1.99,1.99,1.95,1.99,8000,0
2016-02-19,06:10:00,1.99,2,1.99,2,8000,0
2016-02-22,02:35:00,1.95,1.95,1.95,1.95,2000,0
2016-02-22,03:10:00,1.95,1.96,1.95,1.96,8000,0
2016-02-22,05:00:00,1.96,1.96,1.91,1.91,68000,0
2016-02-22,07:40:00,1.92,1.96,1.92,1.96,8000,0
2016-02-22,08:20:00,1.95,1.96,1.95,1.96,16000,0
2016-02-22,09:00:00,1.96,2,1.96,2,12000,0
2016-02-23,03:00:00,1.98,1.98,1.98,1.98,6000,0
2016-02-23,03:25:00,1.98,2,1.98,1.99,10000,0
2016-02-23,04:15:00,1.98,1.99,1.98,1.99,6000,0
2016-02-23,07:10:00,1.97,1.99,1.97,1.99,8000,0
2016-02-23,09:00:00,1.99,1.99,1.99,1.99,4000,0
2016-02-24,03:00:00,1.99,1.99,1.99,1.99,4000,0
2016-02-24,04:15:00,1.99,1.99,1.99,1.99,6000,0
2016-02-24,06:50:00,1.96,1.99,1.96,1.99,52000,0
2016-02-24,07:20:00,1.99,1.99,1.99,1.99,2000,0
2016-02-24,08:30:00,1.99,1.99,1.99,1.99,2000,0
2016-02-25,03:05:00,1.99,1.99,1.99,1.99,4000,0
2016-02-25,04:10:00,1.99,1.99,1.99,1.99,6000,0
2016-02-25,06:30:00,1.98,1.98,1.97,1.97,8000,0
2016-02-25,06:45:00,1.97,1.97,1.97,1.97,2000,0
2016-02-25,07:00:00,1.97,1.97,1.97,1.97,18000,0
2016-02-25,08:05:00,1.96,1.98,1.96,1.98,12000,0
2016-02-26,02:50:00,1.99,1.99,1.96,1.99,8000,0
2016-02-26,03:00:00,1.99,1.99,1.99,1.99,6000,0
2016-02-26,03:10:00,1.99,2,1.99,2,184000,0
2016-02-26,03:20:00,2,2,2,2,24000,0
2016-02-26,04:45:00,2,2,2,2,6000,0
2016-02-26,04:55:00,2,2,1.95,1.95,54000,0
2016-02-26,06:05:00,1.95,1.99,1.95,1.99,20000,0
2016-02-26,07:10:00,1.99,1.99,1.99,1.99,2000,0
2016-02-26,07:20:00,1.99,1.99,1.95,1.95,4000,0
2016-02-26,07:45:00,1.95,1.99,1.95,1.99,4000,0
2016-02-26,07:55:00,1.99,1.99,1.9,1.9,44000,0
2016-02-26,08:15:00,1.92,1.92,1.9,1.92,30000,0
2016-02-26,08:25:00,1.96,1.96,1.96,1.96,2000,0
2016-02-26,09:00:00,1.95,1.99,1.84,1.95,18000,0
2016-02-29,02:35:00,1.95,1.95,1.95,1.95,2000,0
2016-02-29,02:40:00,1.95,1.95,1.95,1.95,2000,0
