Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-22,04:20:00,5.6871,5.6871,5.6871,5.6871,1016,0
2016-02-22,09:00:00,5.7068,5.9035,5.7068,5.9035,8131,0
2016-02-23,04:00:00,5.9035,5.9035,5.9035,5.9035,6098,0
2016-02-23,05:00:00,5.9035,5.9035,5.9035,5.9035,10163,0
2016-02-23,07:20:00,5.9035,5.9035,5.9035,5.9035,5082,0
2016-02-23,07:25:00,5.9035,5.9035,5.9035,5.9035,7114,0
2016-02-23,08:40:00,5.9035,5.9527,5.9035,5.9527,3049,0
2016-02-23,08:45:00,5.9527,5.9527,5.9035,5.9035,15245,0
2016-02-25,06:50:00,5.9035,6.0019,5.9035,6.0019,9147,0
2016-02-26,09:00:00,6.0511,6.1003,6.0019,6.1003,14229,0
2016-02-29,03:40:00,6.1003,6.1003,5.9035,5.9429,34556,0
2016-02-29,06:25:00,5.9035,5.9429,5.9035,5.9429,10163,0
2016-02-29,07:35:00,5.9134,5.9527,5.9134,5.9527,10163,0
2016-02-29,07:40:00,5.9626,5.9626,5.9626,5.9626,5082,0
2016-02-29,07:45:00,5.9626,5.9626,5.9626,5.9626,1016,0
2016-02-29,08:10:00,5.9626,5.9626,5.9626,5.9626,4065,0
2016-02-29,08:45:00,5.9626,5.9626,5.9527,5.9527,8131,0
2016-02-29,08:55:00,5.9527,5.9527,5.9527,5.9527,1016,0
2016-02-29,09:00:00,5.9527,6.1003,5.9527,6.1003,2033,0
2016-03-01,03:30:00,6.1003,6.1003,6.0905,6.0905,11688,0
2016-03-01,03:35:00,6.0905,6.1003,6.0905,6.1003,10163,0
2016-03-01,04:15:00,6.1003,6.1298,6.1003,6.1298,4065,0
2016-03-01,04:50:00,6.1102,6.1102,6.1003,6.1003,6098,0
2016-03-01,07:05:00,6.1003,6.1003,6.0511,6.0511,13212,0
2016-03-01,08:25:00,6.0511,6.0511,6.0019,6.0019,17278,0
2016-03-01,09:00:00,5.9035,6.0806,5.9035,6.0806,2033,0
2016-03-02,06:10:00,5.9134,6.12,5.9134,6.12,2033,0
2016-03-04,05:00:00,6.12,6.12,6.12,6.12,3049,0
2016-03-09,04:50:00,6.12,6.12,6.12,6.12,1016,0
2016-03-09,08:35:00,6.12,6.12,6.12,6.12,3049,0
2016-03-09,08:50:00,6.12,6.12,6.12,6.12,1016,0
2016-03-10,07:30:00,6.06,6.06,6.06,6.06,2000,0
2016-03-10,09:00:00,6.06,6.1,6.06,6.1,2000,0
2016-03-17,07:00:00,6.09,6.09,6.07,6.09,2000,0
2016-03-17,07:55:00,6.09,6.09,6.09,6.09,3000,0
2016-03-18,06:30:00,6.1,6.1,6.1,6.1,2000,0
2016-03-18,09:00:00,6.1,6.1,6.1,6.1,5000,0
2016-03-21,03:35:00,6.1,6.17,6.1,6.17,4000,0
2016-03-21,04:20:00,6.17,6.18,6.17,6.18,7000,0
2016-03-21,04:25:00,6.18,6.18,6.18,6.18,3000,0
2016-03-21,06:15:00,6.18,6.18,6.18,6.18,6000,0
2016-03-21,07:25:00,6.18,6.18,6.18,6.18,7000,0
2016-03-22,09:00:00,6.2,6.2,6.18,6.2,10000,0
2016-03-24,06:05:00,6.1,6.2,6.1,6.11,10000,0
2016-03-29,04:40:00,6.11,6.11,6.11,6.11,1000,0
2016-04-05,05:10:00,6.11,6.2,6.11,6.2,4000,0
2016-04-05,05:25:00,6.2,6.2,6.2,6.2,6000,0
2016-04-06,09:10:00,6.11,6.2,6.08,6.08,28000,0
2016-04-06,10:00:00,6.15,6.3,6.15,6.3,10000,0
2016-04-11,05:15:00,6.16,6.2,6.16,6.2,10000,0
2016-04-11,05:35:00,6.2,6.2,6.2,6.2,1000,0
2016-04-11,05:45:00,6.2,6.2,6.2,6.2,1000,0
2016-04-11,09:45:00,6.2,6.2,6.16,6.16,4000,0
2016-04-13,04:10:00,6.18,6.2,6.18,6.18,20000,0
2016-04-13,09:35:00,6.18,6.18,6.18,6.18,3000,0
