Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-07,02:35:00,6.52,6.55,6.52,6.54,12000,0
2016-03-07,02:40:00,6.52,6.56,6.52,6.56,22000,0
2016-03-07,02:45:00,6.56,6.59,6.56,6.59,16000,0
2016-03-07,02:50:00,6.59,6.59,6.56,6.56,4000,0
2016-03-07,02:55:00,6.56,6.6,6.56,6.6,38000,0
2016-03-07,03:35:00,6.59,6.59,6.58,6.58,16000,0
2016-03-07,03:40:00,6.58,6.59,6.58,6.59,46000,0
2016-03-07,03:45:00,6.59,6.59,6.58,6.58,4000,0
2016-03-07,03:50:00,6.58,6.6,6.58,6.6,54000,0
2016-03-07,03:55:00,6.6,6.6,6.59,6.59,6000,0
2016-03-07,04:00:00,6.59,6.59,6.59,6.59,2000,0
2016-03-07,04:05:00,6.59,6.59,6.59,6.59,2000,0
2016-03-07,04:10:00,6.59,6.6,6.59,6.59,20000,0
2016-03-07,04:15:00,6.59,6.6,6.59,6.59,10000,0
2016-03-07,04:30:00,6.59,6.59,6.59,6.59,2000,0
2016-03-07,04:40:00,6.59,6.6,6.59,6.6,12000,0
2016-03-07,04:55:00,6.6,6.6,6.59,6.6,14000,0
2016-03-07,06:05:00,6.6,6.6,6.57,6.58,12000,0
2016-03-07,06:20:00,6.58,6.59,6.58,6.59,10000,0
2016-03-07,06:25:00,6.59,6.59,6.58,6.58,4000,0
2016-03-07,06:50:00,6.58,6.58,6.58,6.58,2000,0
2016-03-07,06:55:00,6.58,6.59,6.58,6.58,6000,0
2016-03-07,07:00:00,6.58,6.58,6.57,6.57,6000,0
2016-03-07,08:00:00,6.57,6.57,6.56,6.57,8000,0
2016-03-07,08:05:00,6.57,6.57,6.56,6.56,4000,0
2016-03-07,08:30:00,6.56,6.57,6.56,6.57,6000,0
2016-03-07,08:45:00,6.57,6.57,6.56,6.56,4000,0
2016-03-07,08:50:00,6.56,6.57,6.56,6.57,10000,0
2016-03-07,08:55:00,6.57,6.57,6.56,6.56,6000,0
2016-03-07,09:00:00,6.56,6.59,6.56,6.57,110000,0
2016-03-08,02:35:00,6.55,6.57,6.55,6.56,6000,0
2016-03-08,02:40:00,6.56,6.56,6.56,6.56,2000,0
2016-03-08,02:45:00,6.56,6.56,6.55,6.56,18000,0
2016-03-08,02:55:00,6.56,6.57,6.54,6.54,44000,0
2016-03-08,03:05:00,6.54,6.55,6.54,6.55,30000,0
2016-03-08,03:15:00,6.55,6.55,6.54,6.55,16000,0
2016-03-08,03:20:00,6.55,6.56,6.54,6.55,20000,0
2016-03-08,03:25:00,6.55,6.55,6.55,6.55,4000,0
2016-03-08,03:35:00,6.55,6.55,6.55,6.55,2000,0
2016-03-08,03:40:00,6.55,6.55,6.52,6.52,36000,0
2016-03-08,03:45:00,6.52,6.52,6.52,6.52,22000,0
2016-03-08,03:50:00,6.51,6.51,6.42,6.42,36000,0
2016-03-08,03:55:00,6.42,6.45,6.42,6.45,30000,0
2016-03-08,04:00:00,6.45,6.45,6.42,6.42,10000,0
2016-03-08,04:05:00,6.41,6.41,6.41,6.41,4000,0
2016-03-08,04:10:00,6.35,6.4,6.35,6.39,48000,0
2016-03-08,04:15:00,6.39,6.42,6.39,6.42,14000,0
2016-03-08,04:20:00,6.42,6.45,6.42,6.45,20000,0
2016-03-08,04:30:00,6.45,6.45,6.45,6.45,2000,0
2016-03-08,04:35:00,6.44,6.44,6.41,6.41,42000,0
2016-03-08,04:40:00,6.41,6.41,6.4,6.4,18000,0
2016-03-08,04:45:00,6.4,6.4,6.39,6.39,38000,0
2016-03-08,04:50:00,6.39,6.39,6.39,6.39,6000,0
2016-03-08,04:55:00,6.39,6.4,6.39,6.39,18000,0
2016-03-08,05:00:00,6.39,6.39,6.39,6.39,20000,0
2016-03-08,06:05:00,6.39,6.4,6.38,6.4,74000,0
2016-03-08,06:10:00,6.4,6.42,6.39,6.42,30000,0
2016-03-08,06:20:00,6.42,6.44,6.39,6.41,56000,0
2016-03-08,06:25:00,6.41,6.45,6.41,6.45,8000,0
2016-03-08,06:30:00,6.45,6.45,6.45,6.45,8000,0
2016-03-08,06:35:00,6.43,6.43,6.41,6.41,8000,0
2016-03-08,06:40:00,6.41,6.41,6.4,6.4,32000,0
2016-03-08,06:45:00,6.4,6.41,6.4,6.41,64000,0
2016-03-08,06:50:00,6.41,6.47,6.41,6.46,8000,0
2016-03-08,06:55:00,6.46,6.46,6.43,6.43,12000,0
2016-03-08,07:00:00,6.43,6.43,6.43,6.43,14000,0
2016-03-08,07:05:00,6.43,6.43,6.41,6.41,8000,0
