Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-16,03:05:00,0.275,0.29,0.275,0.29,90000,0
2016-02-16,03:45:00,0.29,0.29,0.28,0.28,68000,0
2016-02-16,04:35:00,0.28,0.28,0.28,0.28,32000,0
2016-02-16,06:30:00,0.28,0.29,0.28,0.29,4000,0
2016-02-16,06:35:00,0.29,0.295,0.29,0.295,68000,0
2016-02-17,04:55:00,0.28,0.295,0.28,0.28,4000,0
2016-02-17,05:00:00,0.28,0.28,0.275,0.275,22000,0
2016-02-17,06:25:00,0.275,0.29,0.275,0.29,82000,0
2016-02-17,06:55:00,0.29,0.32,0.29,0.31,12000,0
2016-02-17,09:00:00,0.31,0.31,0.275,0.275,20000,0
2016-02-18,03:15:00,0.295,0.295,0.275,0.295,8000,0
2016-02-18,03:40:00,0.295,0.3,0.295,0.3,16000,0
2016-02-18,06:20:00,0.3,0.31,0.3,0.31,4000,0
2016-02-18,07:15:00,0.305,0.31,0.305,0.31,60000,0
2016-02-19,07:40:00,0.32,0.32,0.31,0.32,8000,0
2016-02-22,06:20:00,0.32,0.325,0.32,0.325,4000,0
2016-02-22,06:30:00,0.325,0.33,0.325,0.325,160000,0
2016-02-22,07:05:00,0.33,0.34,0.33,0.34,4000,0
2016-02-22,07:20:00,0.34,0.37,0.34,0.365,58000,0
2016-02-23,03:30:00,0.36,0.36,0.35,0.35,6000,0
2016-02-23,03:35:00,0.35,0.35,0.35,0.35,30000,0
2016-02-23,07:20:00,0.34,0.35,0.34,0.35,20000,0
2016-02-23,08:00:00,0.35,0.35,0.35,0.35,20000,0
2016-02-23,08:05:00,0.35,0.36,0.35,0.36,80000,0
2016-02-23,08:30:00,0.36,0.365,0.36,0.365,12000,0
2016-02-23,09:00:00,0.36,0.36,0.36,0.36,2000,0
2016-02-24,03:55:00,0.36,0.36,0.36,0.36,4000,0
2016-02-25,03:05:00,0.36,0.38,0.36,0.38,20000,0
2016-02-25,03:40:00,0.38,0.38,0.375,0.375,4000,0
2016-03-01,07:00:00,0.39,0.39,0.39,0.39,100000,0
2016-03-02,04:25:00,0.41,0.41,0.41,0.41,2000,0
2016-03-31,04:45:00,0.33,0.36,0.33,0.33,4000,0
2016-03-31,07:45:00,0.335,0.42,0.335,0.42,4000,0
2016-04-07,04:20:00,0.41,0.41,0.4,0.41,36000,0
2016-04-08,03:50:00,0.36,0.41,0.36,0.41,212000,0
2016-04-13,08:55:00,0.34,0.34,0.34,0.34,138000,0
2016-04-13,09:00:00,0.34,0.345,0.34,0.34,84000,0
