Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-04,09:00:00,0.89,0.9,0.89,0.9,132000,0
2016-02-05,03:05:00,0.89,0.9,0.89,0.9,6000,0
2016-02-05,03:20:00,0.9,0.9,0.9,0.9,1000,0
2016-02-05,06:25:00,0.89,0.91,0.89,0.9,220000,0
2016-02-05,06:50:00,0.9,0.9,0.9,0.9,14000,0
2016-02-05,08:05:00,0.89,0.9,0.89,0.9,20000,0
2016-02-05,09:00:00,0.89,0.9,0.89,0.9,2000,0
2016-02-11,03:40:00,0.9,0.9,0.89,0.89,8000,0
2016-02-11,03:50:00,0.89,0.9,0.89,0.9,6000,0
2016-02-11,04:15:00,0.88,0.89,0.88,0.89,13000,0
2016-02-11,04:20:00,0.89,0.9,0.89,0.89,33000,0
2016-02-11,04:25:00,0.89,0.9,0.89,0.9,98000,0
2016-02-11,04:30:00,0.9,0.9,0.9,0.9,8000,0
2016-02-11,04:35:00,0.9,0.9,0.9,0.9,35000,0
2016-02-11,04:40:00,0.9,0.9,0.9,0.9,22000,0
2016-02-11,04:45:00,0.9,0.9,0.9,0.9,7000,0
2016-02-11,04:50:00,0.9,0.9,0.89,0.9,72000,0
2016-02-11,04:55:00,0.9,0.9,0.9,0.9,5000,0
2016-02-11,05:00:00,0.9,0.9,0.9,0.9,2000,0
2016-02-11,06:05:00,0.9,0.9,0.89,0.9,54000,0
2016-02-11,06:10:00,0.9,0.9,0.9,0.9,52000,0
2016-02-11,06:15:00,0.9,0.9,0.9,0.9,6000,0
2016-02-11,06:20:00,0.9,0.9,0.9,0.9,24000,0
2016-02-11,06:25:00,0.9,0.9,0.9,0.9,61000,0
2016-02-11,06:30:00,0.9,0.9,0.9,0.9,5000,0
2016-02-11,06:35:00,0.9,0.9,0.89,0.89,7000,0
2016-02-11,06:40:00,0.89,0.9,0.89,0.9,6000,0
2016-02-11,06:45:00,0.9,0.9,0.9,0.9,2000,0
2016-02-11,06:50:00,0.9,0.9,0.89,0.89,4000,0
2016-02-11,06:55:00,0.89,0.9,0.89,0.9,2000,0
2016-02-11,07:00:00,0.9,0.9,0.9,0.9,1000,0
2016-02-11,07:05:00,0.9,0.9,0.89,0.9,55000,0
2016-02-11,07:10:00,0.9,0.9,0.9,0.9,7000,0
2016-02-11,07:15:00,0.9,0.9,0.9,0.9,4000,0
2016-02-11,07:20:00,0.9,0.91,0.9,0.91,5000,0
2016-02-11,07:25:00,0.91,0.91,0.91,0.91,1000,0
2016-02-11,07:30:00,0.91,0.91,0.91,0.91,1000,0
2016-02-11,07:35:00,0.91,0.91,0.9,0.91,4000,0
2016-02-11,07:45:00,0.91,0.91,0.9,0.9,96000,0
2016-02-11,07:50:00,0.9,0.9,0.9,0.9,23000,0
2016-02-11,07:55:00,0.9,0.9,0.89,0.9,22000,0
2016-02-11,08:00:00,0.9,0.9,0.9,0.9,21000,0
2016-02-11,08:05:00,0.9,0.9,0.9,0.9,20000,0
2016-02-11,08:10:00,0.9,0.9,0.9,0.9,9000,0
2016-02-11,08:15:00,0.9,0.9,0.9,0.9,35000,0
2016-02-11,08:20:00,0.9,0.9,0.89,0.89,30000,0
2016-02-11,08:25:00,0.89,0.9,0.89,0.9,46000,0
2016-02-11,08:30:00,0.9,0.9,0.9,0.9,31000,0
2016-02-11,08:35:00,0.9,0.9,0.89,0.89,11000,0
2016-02-11,08:40:00,0.89,0.9,0.89,0.9,21000,0
2016-02-11,08:45:00,0.9,0.9,0.9,0.9,4000,0
2016-02-11,08:50:00,0.9,0.9,0.9,0.9,1000,0
2016-02-11,08:55:00,0.9,0.9,0.89,0.89,2000,0
2016-02-11,09:00:00,0.89,0.9,0.89,0.9,32000,0
2016-02-12,03:15:00,0.9,0.9,0.9,0.9,110000,0
2016-02-12,03:25:00,0.9,0.9,0.89,0.89,2000,0
2016-02-12,03:55:00,0.89,0.89,0.89,0.89,1000,0
2016-02-12,04:25:00,0.89,0.89,0.89,0.89,1000,0
2016-02-12,04:30:00,0.89,0.9,0.89,0.9,2000,0
2016-02-12,04:40:00,0.9,0.9,0.89,0.89,2000,0
2016-02-12,04:50:00,0.89,0.89,0.89,0.89,159000,0
2016-02-12,04:55:00,0.89,0.89,0.88,0.88,2000,0
2016-02-12,06:10:00,0.88,0.88,0.88,0.88,1000,0
2016-02-12,06:15:00,0.88,0.89,0.88,0.89,20000,0
2016-02-12,06:25:00,0.89,0.89,0.89,0.89,1000,0
2016-02-12,06:50:00,0.89,0.9,0.89,0.9,2000,0
2016-02-12,06:55:00,0.9,0.9,0.89,0.89,2000,0
2016-02-12,07:10:00,0.89,0.89,0.89,0.89,20000,0
2016-02-12,07:15:00,0.89,0.89,0.89,0.89,50000,0
2016-02-12,07:25:00,0.89,0.89,0.89,0.89,1000,0
2016-02-12,07:55:00,0.88,0.88,0.88,0.88,1000,0
2016-02-12,08:25:00,0.88,0.88,0.88,0.88,1000,0
2016-02-12,08:40:00,0.88,0.88,0.88,0.88,1000,0
2016-02-12,08:55:00,0.88,0.88,0.88,0.88,2000,0
2016-02-12,09:00:00,0.88,0.89,0.88,0.88,48000,0
2016-02-15,02:35:00,0.88,0.88,0.88,0.88,937000,0
2016-02-15,03:05:00,0.88,0.88,0.88,0.88,179000,0
2016-02-15,03:10:00,0.87,0.88,0.87,0.88,3000,0
2016-02-15,03:15:00,0.88,0.88,0.88,0.88,2000,0
2016-02-15,03:25:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,03:40:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,03:45:00,0.88,0.88,0.88,0.88,5000,0
2016-02-15,03:55:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,04:00:00,0.88,0.88,0.88,0.88,4000,0
2016-02-15,04:15:00,0.88,0.89,0.87,0.89,315000,0
2016-02-15,04:50:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,06:05:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,06:20:00,0.88,0.89,0.88,0.88,301000,0
2016-02-15,06:50:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,07:25:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,07:40:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,08:10:00,0.88,0.88,0.88,0.88,1000,0
2016-02-15,08:20:00,0.88,0.89,0.88,0.89,2000,0
2016-02-15,08:35:00,0.89,0.89,0.89,0.89,1000,0
2016-02-15,08:40:00,0.89,0.89,0.88,0.89,4000,0
2016-02-15,08:55:00,0.89,0.9,0.88,0.9,291000,0
2016-02-15,09:00:00,0.9,0.9,0.9,0.9,1000,0
2016-02-17,02:45:00,0.89,0.9,0.89,0.9,132000,0
2016-02-17,02:50:00,0.9,0.9,0.89,0.89,2000,0
2016-02-17,02:55:00,0.89,0.89,0.89,0.89,50000,0
2016-02-17,03:05:00,0.89,0.9,0.89,0.9,75000,0
2016-02-17,03:10:00,0.9,0.9,0.9,0.9,34000,0
2016-02-17,03:35:00,0.9,0.9,0.89,0.89,2000,0
2016-02-17,04:05:00,0.89,0.89,0.89,0.89,101000,0
2016-02-17,04:15:00,0.89,0.89,0.89,0.89,83000,0
2016-02-17,04:20:00,0.89,0.89,0.89,0.89,57000,0
2016-02-17,04:30:00,0.89,0.89,0.89,0.89,54000,0
2016-02-17,04:45:00,0.88,0.89,0.88,0.89,92000,0
2016-02-17,06:05:00,0.89,0.89,0.89,0.89,1000,0
2016-02-17,06:35:00,0.89,0.89,0.89,0.89,101000,0
2016-02-17,07:05:00,0.89,0.89,0.89,0.89,101000,0
2016-02-17,07:20:00,0.89,0.89,0.89,0.89,81000,0
2016-02-17,07:35:00,0.89,0.89,0.89,0.89,10000,0
2016-02-17,07:40:00,0.89,0.89,0.89,0.89,1000,0
2016-02-17,07:55:00,0.89,0.89,0.89,0.89,91000,0
2016-02-17,08:10:00,0.89,0.89,0.89,0.89,1000,0
2016-02-17,08:25:00,0.89,0.89,0.89,0.89,1000,0
2016-02-17,08:40:00,0.89,0.89,0.89,0.89,1000,0
2016-02-17,08:45:00,0.89,0.89,0.89,0.89,171000,0
2016-02-17,09:00:00,0.89,0.89,0.89,0.89,1000,0
2016-02-18,02:35:00,0.9,0.9,0.89,0.9,16000,0
2016-02-18,02:45:00,0.89,0.9,0.89,0.9,10000,0
2016-02-18,03:05:00,0.9,0.9,0.9,0.9,1000,0
2016-02-18,03:15:00,0.9,0.92,0.9,0.92,86000,0
2016-02-18,03:20:00,0.91,0.91,0.91,0.91,2000,0
2016-02-18,03:25:00,0.91,0.91,0.9,0.9,2000,0
2016-02-18,03:40:00,0.9,0.9,0.9,0.9,1000,0
2016-02-18,03:45:00,0.9,0.91,0.9,0.91,3000,0
2016-02-18,04:05:00,0.91,0.91,0.91,0.91,1000,0
2016-02-18,04:20:00,0.91,0.91,0.9,0.9,2000,0
2016-02-18,04:50:00,0.9,0.9,0.9,0.9,1000,0
2016-02-18,06:05:00,0.9,0.9,0.9,0.9,1000,0
2016-02-18,06:10:00,0.9,0.91,0.9,0.91,31000,0
2016-02-18,06:20:00,0.91,0.91,0.9,0.9,2000,0
2016-02-18,06:50:00,0.91,0.91,0.91,0.91,1000,0
2016-02-18,07:05:00,0.91,0.91,0.91,0.91,1000,0
