Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-04,02:35:00,2.53,2.53,2.49,2.49,2000,0
2016-02-04,04:25:00,2.45,2.45,2.45,2.45,1000,0
2016-02-04,09:00:00,2.45,2.45,2.4,2.45,4000,0
2016-02-05,02:35:00,2.55,2.55,2.55,2.55,1000,0
2016-02-05,06:15:00,2.52,2.52,2.52,2.52,1000,0
2016-02-12,02:35:00,2.5,2.5,2.5,2.5,1000,0
2016-02-12,06:20:00,2.5,2.5,2.5,2.5,1000,0
2016-02-15,02:35:00,2.5,2.5,2.5,2.5,1000,0
2016-02-15,04:30:00,2.4,2.49,2.4,2.49,2000,0
2016-02-17,02:50:00,2.49,2.49,2.48,2.49,2000,0
2016-02-17,06:55:00,2.49,2.49,2.49,2.49,1000,0
2016-02-18,06:40:00,2.5,2.5,2.5,2.5,1000,0
2016-02-19,03:10:00,2.5,2.5,2.5,2.5,1000,0
2016-02-19,07:00:00,2.5,2.5,2.5,2.5,1000,0
2016-02-22,02:35:00,2.5,2.55,2.5,2.5,5000,0
2016-02-23,02:35:00,2.5,2.5,2.5,2.5,1000,0
2016-02-23,06:30:00,2.5,2.5,2.5,2.5,1000,0
2016-02-24,02:35:00,2.5,2.5,2.5,2.5,1000,0
2016-02-24,07:05:00,2.5,2.5,2.5,2.5,1000,0
2016-02-25,06:15:00,2.5,2.5,2.5,2.5,1000,0
2016-02-26,02:40:00,2.5,2.5,2.5,2.5,1000,0
2016-02-26,02:45:00,2.5,2.5,2.5,2.5,8000,0
2016-03-01,02:35:00,2.5,2.5,2.5,2.5,1000,0
2016-03-02,07:25:00,2.5,2.5,2.5,2.5,1000,0
2016-03-03,07:20:00,2.5,2.5,2.5,2.5,1000,0
2016-03-04,03:15:00,2.5,2.5,2.5,2.5,1000,0
2016-03-04,07:05:00,2.5,2.5,2.5,2.5,1000,0
2016-03-08,07:05:00,2.58,2.58,2.5,2.5,1000,0
2016-03-09,02:55:00,2.5,2.5,2.5,2.5,1000,0
2016-03-09,06:45:00,2.5,2.5,2.5,2.5,1000,0
2016-03-10,03:05:00,2.5,2.5,2.5,2.5,1000,0
2016-03-10,07:50:00,2.5,2.5,2.5,2.5,1000,0
2016-03-14,02:35:00,2.55,2.55,2.5,2.55,2000,0
2016-03-14,07:00:00,2.51,2.51,2.51,2.51,1000,0
2016-03-15,02:35:00,2.53,2.53,2.51,2.53,2000,0
2016-03-17,02:35:00,2.55,2.55,2.51,2.55,2000,0
2016-03-18,08:30:00,2.5,2.51,2.5,2.51,2000,0
2016-03-23,02:55:00,2.51,2.51,2.51,2.51,1000,0
2016-03-24,03:00:00,2.5,2.5,2.5,2.5,1000,0
2016-03-24,08:55:00,2.5,2.5,2.5,2.5,1000,0
2016-03-29,03:50:00,2.5,2.5,2.5,2.5,1000,0
2016-03-29,08:20:00,2.5,2.5,2.5,2.5,1000,0
2016-03-30,03:55:00,2.5,2.5,2.5,2.5,1000,0
2016-03-30,08:15:00,2.5,2.5,2.5,2.5,1000,0
2016-03-31,03:35:00,2.55,2.55,2.51,2.51,2000,0
2016-04-05,07:50:00,2.45,2.45,2.45,2.45,1000,0
2016-04-06,07:30:00,2.5,2.5,2.4,2.45,2000,0
2016-04-07,03:45:00,2.48,2.48,2.45,2.48,2000,0
2016-04-07,07:50:00,2.48,2.48,2.48,2.48,1000,0
2016-04-08,04:20:00,2.48,2.48,2.48,2.48,1000,0
2016-04-08,08:15:00,2.48,2.48,2.48,2.48,1000,0
2016-04-11,07:35:00,2.49,2.49,2.49,2.49,1000,0
2016-04-12,03:50:00,2.48,2.48,2.48,2.48,1000,0
2016-04-12,08:45:00,2.48,2.48,2.48,2.48,1000,0
2016-04-13,03:45:00,2.48,2.48,2.48,2.48,1000,0
