Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-04-08,03:35:00,1.15,1.24,1.15,1.24,44200000,0
2016-04-08,03:40:00,1.24,1.29,1.22,1.28,23140000,0
2016-04-08,03:45:00,1.28,1.29,1.2,1.2,16020000,0
2016-04-08,03:50:00,1.2,1.24,1.2,1.23,7364000,0
2016-04-08,03:55:00,1.23,1.24,1.22,1.22,3244000,0
2016-04-08,04:00:00,1.22,1.26,1.22,1.25,3868000,0
2016-04-08,04:05:00,1.25,1.26,1.23,1.24,3536000,0
2016-04-08,04:10:00,1.24,1.24,1.19,1.2,8472000,0
2016-04-08,04:15:00,1.2,1.21,1.19,1.2,2720000,0
2016-04-08,04:20:00,1.2,1.2,1.09,1.11,16676000,0
2016-04-08,04:25:00,1.11,1.13,1.1,1.11,7016000,0
2016-04-08,04:30:00,1.11,1.12,1.08,1.1,4808000,0
2016-04-08,04:35:00,1.1,1.14,1.1,1.13,4832000,0
2016-04-08,04:40:00,1.13,1.15,1.12,1.14,3384000,0
2016-04-08,04:45:00,1.14,1.15,1.11,1.11,2132000,0
2016-04-08,04:50:00,1.11,1.12,1.1,1.12,892000,0
2016-04-08,04:55:00,1.12,1.12,1.09,1.1,1940000,0
2016-04-08,05:00:00,1.1,1.11,1.1,1.11,2128000,0
2016-04-08,05:05:00,1.11,1.13,1.1,1.12,4804000,0
2016-04-08,05:10:00,1.12,1.15,1.11,1.14,2652000,0
2016-04-08,05:15:00,1.14,1.16,1.14,1.14,3144000,0
2016-04-08,05:20:00,1.14,1.18,1.13,1.17,5092000,0
2016-04-08,05:25:00,1.17,1.17,1.13,1.15,5532000,0
2016-04-08,05:30:00,1.15,1.15,1.13,1.15,1296000,0
2016-04-08,05:35:00,1.15,1.15,1.14,1.14,1128000,0
2016-04-08,05:40:00,1.14,1.16,1.14,1.15,1396000,0
2016-04-08,05:45:00,1.15,1.17,1.1,1.11,17384000,0
2016-04-08,05:50:00,1.11,1.12,1.11,1.11,1408000,0
2016-04-08,05:55:00,1.11,1.11,1.02,1.06,12120000,0
2016-04-08,06:00:00,1.06,1.06,1.02,1.02,5636000,0
2016-04-08,07:05:00,1.02,1.06,1.02,1.04,4636000,0
2016-04-08,07:10:00,1.04,1.06,1.03,1.04,2252000,0
2016-04-08,07:15:00,1.04,1.05,1.03,1.05,1320000,0
2016-04-08,07:20:00,1.05,1.05,1.03,1.04,368000,0
2016-04-08,07:25:00,1.04,1.04,1.03,1.03,812000,0
2016-04-08,07:30:00,1.03,1.04,1.03,1.04,440000,0
2016-04-08,07:35:00,1.04,1.05,1.03,1.05,528000,0
2016-04-08,07:40:00,1.05,1.05,1.02,1.02,1012000,0
2016-04-08,07:45:00,1.02,1.02,0.97,0.97,10336000,0
2016-04-08,07:50:00,0.97,0.99,0.97,0.98,4356000,0
2016-04-08,07:55:00,0.98,1,0.98,1,6828000,0
2016-04-08,08:00:00,1,1,0.99,1,1480000,0
2016-04-08,08:05:00,1,1,0.99,1,488000,0
2016-04-08,08:10:00,1,1,0.99,1,1160000,0
2016-04-08,08:15:00,1,1,0.96,0.96,4732000,0
2016-04-08,08:20:00,0.96,0.97,0.96,0.96,1444000,0
2016-04-08,08:25:00,0.96,0.98,0.96,0.98,3416000,0
2016-04-08,08:30:00,0.98,0.99,0.98,0.99,1416000,0
2016-04-08,08:35:00,0.99,0.99,0.97,0.97,860000,0
2016-04-08,08:40:00,0.97,0.98,0.97,0.98,348000,0
2016-04-08,08:45:00,0.98,0.98,0.97,0.98,124000,0
2016-04-08,08:50:00,0.98,0.98,0.97,0.97,2148000,0
2016-04-08,08:55:00,0.97,0.97,0.97,0.97,1336000,0
2016-04-08,09:00:00,0.97,0.97,0.94,0.94,3480000,0
2016-04-08,09:05:00,0.94,0.94,0.92,0.94,7292000,0
2016-04-08,09:10:00,0.94,0.94,0.91,0.91,3208000,0
2016-04-08,09:15:00,0.91,0.91,0.88,0.91,14052000,0
2016-04-08,09:20:00,0.91,0.92,0.9,0.91,3408000,0
2016-04-08,09:25:00,0.91,0.91,0.88,0.88,4920000,0
2016-04-08,09:30:00,0.88,0.89,0.87,0.88,5012000,0
2016-04-08,09:35:00,0.88,0.9,0.87,0.9,4840000,0
2016-04-08,09:40:00,0.9,0.9,0.87,0.87,3296000,0
2016-04-08,09:45:00,0.87,0.88,0.85,0.88,2996000,0
2016-04-08,09:50:00,0.88,0.9,0.87,0.89,4012000,0
2016-04-08,09:55:00,0.89,0.91,0.89,0.91,5784000,0
2016-04-08,10:00:00,0.91,0.92,0.9,0.91,5812000,0
2016-04-11,03:35:00,0.9,0.92,0.83,0.83,9568000,0
2016-04-11,03:40:00,0.83,0.87,0.8,0.85,11704000,0
2016-04-11,03:45:00,0.85,0.9,0.85,0.9,5304000,0
2016-04-11,03:50:00,0.9,0.9,0.89,0.89,1124000,0
2016-04-11,03:55:00,0.89,0.89,0.84,0.86,5448000,0
2016-04-11,04:00:00,0.86,0.86,0.85,0.85,1068000,0
2016-04-11,04:05:00,0.85,0.88,0.85,0.87,1328000,0
2016-04-11,04:10:00,0.87,0.87,0.86,0.86,472000,0
2016-04-11,04:15:00,0.86,0.87,0.85,0.86,600000,0
2016-04-11,04:20:00,0.86,0.86,0.84,0.84,4224000,0
2016-04-11,04:25:00,0.84,0.84,0.83,0.84,472000,0
2016-04-11,04:30:00,0.84,0.84,0.83,0.83,868000,0
2016-04-11,04:35:00,0.83,0.83,0.83,0.83,440000,0
2016-04-11,04:40:00,0.83,0.84,0.83,0.83,124000,0
2016-04-11,04:45:00,0.83,0.85,0.83,0.84,472000,0
2016-04-11,04:50:00,0.84,0.85,0.84,0.85,692000,0
2016-04-11,04:55:00,0.85,0.86,0.85,0.86,432000,0
2016-04-11,05:00:00,0.86,0.86,0.85,0.86,316000,0
2016-04-11,05:05:00,0.86,0.86,0.85,0.85,332000,0
2016-04-11,05:10:00,0.85,0.86,0.85,0.86,260000,0
2016-04-11,05:15:00,0.86,0.86,0.85,0.85,84000,0
2016-04-11,05:20:00,0.85,0.86,0.85,0.86,340000,0
2016-04-11,05:25:00,0.86,0.86,0.86,0.86,360000,0
2016-04-11,05:30:00,0.86,0.86,0.85,0.85,184000,0
2016-04-11,05:40:00,0.85,0.86,0.85,0.86,32000,0
2016-04-11,05:45:00,0.86,0.86,0.86,0.86,172000,0
2016-04-11,05:50:00,0.86,0.86,0.85,0.85,212000,0
2016-04-11,05:55:00,0.85,0.86,0.85,0.86,76000,0
2016-04-11,06:00:00,0.86,0.86,0.85,0.86,140000,0
2016-04-11,07:05:00,0.86,0.87,0.86,0.87,304000,0
2016-04-11,07:10:00,0.87,0.89,0.87,0.89,2836000,0
2016-04-11,07:15:00,0.89,0.92,0.89,0.92,6752000,0
2016-04-11,07:20:00,0.92,0.92,0.89,0.89,5164000,0
2016-04-11,07:25:00,0.89,0.9,0.88,0.88,1432000,0
2016-04-11,07:30:00,0.88,0.89,0.87,0.89,15572000,0
2016-04-11,07:35:00,0.89,0.89,0.89,0.89,772000,0
