Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-12,02:55:00,6.54,6.8,6.54,6.54,16000,0
2016-02-12,04:30:00,6.55,6.55,6.55,6.55,4000,0
2016-02-16,08:15:00,6.66,6.66,6.66,6.66,21600,0
2016-02-17,07:25:00,6.66,6.66,6.66,6.66,2000,0
2016-02-22,02:35:00,6.8,7.1,6.8,7.1,44000,0
2016-02-26,07:45:00,6.91,7,6.91,7,4000,0
2016-02-26,07:50:00,7,7.15,7,7.15,20000,0
2016-02-26,08:00:00,7.15,7.15,7.15,7.15,2000,0
2016-02-26,08:40:00,7.15,7.15,7.15,7.15,6000,0
2016-03-03,08:45:00,7.15,7.15,7.15,7.15,18000,0
2016-03-07,05:00:00,7.15,7.15,7.15,7.15,14000,0
2016-03-07,08:45:00,7.15,7.15,7.15,7.15,20000,0
2016-03-10,07:15:00,7.25,7.25,7.25,7.25,4000,0
2016-03-10,08:15:00,7.25,7.25,7.25,7.25,20000,0
2016-03-11,06:50:00,7.25,7.25,7.25,7.25,2000,0
2016-03-14,06:20:00,7.3,7.3,7.25,7.3,4000,0
2016-03-30,08:10:00,7.07,7.08,7.07,7.08,6000,0
2016-04-05,05:05:00,7.08,7.1,7.08,7.1,16000,0
2016-04-05,05:30:00,7.09,7.09,7.09,7.09,2000,0
2016-04-06,05:30:00,7.08,7.1,7.08,7.1,4000,0
2016-04-06,05:50:00,7.1,7.1,7.1,7.1,18000,0
2016-04-11,08:30:00,7.18,7.18,7.18,7.18,2000,0
2016-04-13,04:20:00,7.2,7.2,7.2,7.2,2000,0
2016-04-13,09:05:00,7.25,7.35,7.25,7.35,4000,0
