Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-12,07:20:00,4.7,4.8,4.7,4.8,12000,0
2016-02-12,08:55:00,4.75,4.8,4.75,4.8,12000,0
2016-02-15,03:35:00,5,5,4.8,5,20000,0
2016-02-15,03:50:00,4.96,4.96,4.81,4.81,22000,0
2016-02-15,04:10:00,4.79,4.79,4.79,4.79,2000,0
2016-02-15,08:00:00,4.8,4.8,4.72,4.72,22000,0
2016-02-16,04:10:00,4.75,4.75,4.72,4.75,20000,0
2016-02-16,06:05:00,4.76,4.77,4.76,4.77,16000,0
2016-02-16,06:15:00,4.77,4.77,4.77,4.77,2000,0
2016-02-16,06:50:00,4.77,4.77,4.76,4.76,12000,0
2016-02-16,07:00:00,4.76,4.76,4.76,4.76,4000,0
2016-02-16,07:05:00,4.76,4.76,4.74,4.74,6000,0
2016-02-16,07:15:00,4.74,4.86,4.74,4.86,36000,0
2016-02-16,07:20:00,4.86,5,4.86,5,46000,0
2016-02-16,07:25:00,5,5,5,5,6000,0
2016-02-16,09:00:00,5,5,4.82,5,20000,0
2016-02-17,03:05:00,5,5,5,5,6000,0
2016-02-18,04:05:00,4.82,5,4.81,4.81,22000,0
2016-02-18,06:35:00,4.81,4.81,4.81,4.81,2000,0
2016-02-18,06:45:00,4.81,4.81,4.79,4.79,8000,0
2016-02-18,07:30:00,4.79,4.79,4.79,4.79,2000,0
2016-02-18,07:35:00,4.79,4.79,4.79,4.79,2000,0
2016-02-18,07:45:00,4.79,4.79,4.79,4.79,2000,0
2016-02-18,08:55:00,4.79,4.85,4.79,4.85,4000,0
2016-02-18,09:00:00,4.85,4.85,4.85,4.85,4000,0
2016-02-23,03:20:00,4.85,4.85,4.5,4.56,108000,0
2016-02-23,06:05:00,4.61,4.61,4.6,4.6,16000,0
2016-02-23,08:55:00,4.6,4.6,4.55,4.55,26000,0
2016-02-23,09:00:00,4.5,4.74,4.5,4.74,4000,0
2016-02-25,04:00:00,4.3,4.51,4.3,4.51,4000,0
2016-02-26,03:50:00,4.55,4.56,4.55,4.56,100000,0
2016-03-01,03:10:00,4.13,4.56,4.13,4.17,10000,0
2016-03-01,03:15:00,4.6,4.6,4.6,4.6,2000,0
2016-03-01,08:00:00,4.6,4.64,4.6,4.64,32000,0
2016-03-01,08:35:00,4.64,4.71,4.64,4.71,20000,0
2016-03-04,07:25:00,4.76,4.8,4.68,4.7,162000,0
2016-03-04,08:00:00,4.7,4.7,4.7,4.7,4000,0
2016-03-04,09:00:00,4.7,4.8,4.7,4.8,4000,0
2016-03-07,02:55:00,4.8,4.8,4.8,4.8,10000,0
2016-03-07,06:55:00,4.8,4.8,4.63,4.63,20000,0
2016-03-07,07:05:00,4.63,4.63,4.63,4.63,25,0
2016-03-16,06:05:00,4.34,4.53,4.34,4.34,4000,0
2016-03-16,08:50:00,4.4,4.4,4.4,4.4,6000,0
2016-03-17,04:00:00,4.4,4.5,4.4,4.5,8000,0
2016-03-18,08:55:00,4.61,4.61,4.61,4.61,6000,0
2016-03-21,03:45:00,4.61,4.79,4.61,4.79,20000,0
2016-03-21,07:25:00,4.5,4.5,4.5,4.5,4000,0
2016-03-21,07:40:00,4.5,4.5,4.5,4.5,6000,0
2016-03-22,08:10:00,4.4,4.51,4.4,4.51,4000,0
2016-03-22,09:00:00,4.51,4.82,4.51,4.82,8000,0
2016-03-23,09:00:00,4.5,4.5,4.5,4.5,2000,0
2016-03-24,02:35:00,4.5,4.5,4.5,4.5,2000,0
2016-03-29,07:45:00,4.6,4.6,4.6,4.6,2000,0
2016-04-13,03:35:00,4.45,4.5,4.45,4.45,20000,0
2016-04-13,04:45:00,4.45,4.5,4.45,4.5,20000,0
2016-04-13,07:55:00,4.5,4.5,4.45,4.45,4000,0
2016-04-13,10:00:00,4.45,4.6,4.45,4.6,4000,0
